Date,Sector,Avg_Close,Total_Volume,Avg_Return,Avg_Volatility
2023-01-01,Defense,1484.0,6050000,,5.66
2023-01-01,Green Energy,680.0,4700000,,8.07
2023-01-01,IT,2387.5,6600000,,3.02
2023-02-01,Defense,1577.5,6600000,6.7,9.34
2023-02-01,Green Energy,713.5,5000000,5.88,9.77
2023-02-01,IT,2430.0,7000000,2.09,3.76
2023-03-01,Defense,1629.5,6500000,3.54,7.3
2023-03-01,Green Energy,736.0,4850000,3.85,7.85
2023-03-01,IT,2460.0,6900000,1.25,3.08
2023-04-01,Defense,1707.5,6900000,5.13,8.12
2023-04-01,Green Energy,1400.0,1700000,2.94,5.71
2023-04-01,IT,2500.0,6800000,1.69,3.18
2023-05-01,Defense,1786.0,7100000,5.32,7.82
2023-05-01,Green Energy,787.0,5300000,5.09,8.48
2023-05-01,IT,2540.0,6900000,1.83,3.42
2023-06-01,Defense,1844.0,7400000,4.06,6.82
2023-06-01,Green Energy,806.5,5050000,2.88,6.01
2023-06-01,IT,2572.5,6400000,1.34,2.78
